Actual_Demand,Predicted_Demand
210.14285714285714,263.11478
215.0,266.5592
68.0,269.85892
123.25,154.82088
178.5,200.10822
233.75,241.56105
289.0,284.0002
405.6666666666667,324.68665
522.3333333333334,407.3521
639.0,486.167
202.0,561.8354
145.0,246.07024
88.0,210.98303
31.0,165.15887
232.0,124.413086
420.0,283.68298
432.7,420.03168
445.40000000000003,430.71686
458.09999999999997,438.56393
470.8,444.26382
483.5,450.8061
496.19999999999993,458.19983
508.90000000000003,466.3201
521.6,474.93118
534.3,483.8131
547.0,492.79276
295.0,501.75027
43.0,321.41525
295.33333333333337,130.56943
547.6666666666667,329.91214
800.0,505.14523
717.0,667.54443
696.8571428571429,616.81525
676.7142857142857,602.775
656.5714285714286,585.6281
636.4285714285714,571.10455
616.2857142857143,557.72455
596.1428571428571,545.17505
576.0,533.0131
467.59999999999997,520.9379
359.2,447.72903
250.79999999999998,373.3173
142.39999999999998,295.7616
34.0,216.0783
121.0,133.82513
207.99999999999997,206.58067
295.0,273.18338
382.0,337.97473
469.00000000000006,398.77545
556.0,456.55948
1169.25,512.1475
1782.5,856.8656
2395.75,1128.7239
3009.0,1333.844
511.0,1479.0431
419.0,347.78705
47.0,405.0284
150.66666666666669,97.23505
254.33333333333337,220.71078
358.0,309.1444
216.49999999999997,396.12137
75.0,294.1548
76.0,186.55573
218.0,185.34207
360.0,289.41788
250.33333333333331,388.3348
140.66666666666666,304.43454
31.0,217.73106
63.0,127.296005
95.0,152.204
126.99999999999999,176.8322
159.0,202.6845
191.0,227.5782
223.0,251.60278
255.0,274.96045
287.0,297.90262
319.0,320.6126
280.8333333333333,343.2015
242.66666666666669,314.43375
204.5,286.0265
166.33333333333334,257.3523
128.16666666666669,229.11398
90.0,200.99223
131.5,172.69977
173.0,206.74469
494.0,239.15231
815.0,467.55127
44.0,670.3076
724.0,117.66168
322.0,601.7475
39.0,331.47482
380.0,127.15026
453.7142857142857,385.77432
527.4285714285714,438.58112
601.1428571428571,493.78442
674.8571428571429,541.9127
748.5714285714286,588.0156
822.2857142857142,632.4985
896.0,675.80896
779.0,718.1199
1539.0,645.3589
905.4999999999999,1023.783
272.0,702.056
439.5,286.2298
607.0,425.39502
677.6666666666666,538.7666
748.3333333333334,591.33
819.0,638.962
852.0,681.6953
884.9999999999999,699.63617
918.0,717.0932
642.5,734.1339
367.0,558.3612
374.1111111111111,370.82303
381.22222222222223,382.86154
388.3333333333333,389.97357
395.44444444444446,399.41354
402.55555555555554,406.79605
409.6666666666667,412.57825
416.77777777777777,417.1736
423.8888888888889,421.08447
431.0,424.71033
438.0,428.3284
677.0,432.02252
916.0,589.092
836.0,731.64325
467.0,684.5912
375.0,439.11255
283.0,379.33148
185.5,312.19775
88.0,243.72438
483.0,173.02492
878.0,464.21375
767.0,711.0677
230.99999999999997,649.86725
44.0,272.10373
183.0,133.72467
322.0,243.9528
303.25,348.78522
284.5,338.53833
265.75,326.49435
247.0,311.5624
228.25,296.53836
209.5,281.6193
190.75,266.91006
172.0,252.38503
87.0,237.98198
88.0,171.67586
164.25,173.6331
